男	男 ♂
远大于	远大于 ≫
小于等于	小于等于 ≤
大于等于	大于等于 ≥
不等于	不等于 ≠
不等	不等 ≠
任意	任意 ∀
存在	存在 ∃ ∄
星	星 ✳ ✴ ❇ ⍟
千分	千分 ‰
万分	万分 ‱
万	万 卍 卐
纳粹	纳粹 卐
埃	埃 Åa
五行	五行 ㊎ ㊍ ㊌ ㊋ ㊏
正	正 ㊣
祝	祝 ㊗ ㈷
秘	秘 ㊙
木	木 ㊍ ㈭
金	金 ㊎ ㈮
土	土 ㊏ ㈯
株	株 ㊑ ㈱
社	社 ㊓ ㈳
名	名 ㊔ ㈴
特	特 ㊕ ㈵
财	财 ㊖ ㈶
劳	劳 ㊘ ㈸
代	代 ㈹
呼	呼 ㈺
適	適 ㊜
优	优 ㊝
印	印 ㊞
注	注 ㊟
项	项 ㊠
休	休 ㊡ ㉁
自	自 ㉂
至	至 ㉃
中	中 ㊥ 🈭
医	医 ㊩
宗	宗 ㊪
学	学 ㊫ ㈻
监	监 ㊬ ㈼
资	资 ㊮ ㈾
协	协 ㊯ ㈿
祭	祭 ㉀
字	字 🈑
双	双 🈒
多	多 🈕
解	解 🈖
天	天 🈗
映	映 🈙
料	料 🈛
再	再 🈞
初	初 🈠
终	终 🈡
生	生 🈢
贩	贩 🈣
声	声 🈤
演	演 🈦
打	打 🈱
投	投 🈧
捕	捕 🈨
游	游 🈫
幼	幼 ㉅
文	文 ㉆
筝	筝 ㉇
国际音标	国际音标 ɐ ɑ ɒ ɓ ɔ ɕ ɖ ɗ ɘ ə ɚ ɛ ɜ ɝ ɞ ɟ ɠ ɡ ɢ ɣ ɤ ɥ ɦ ɧ ɨ ɩ ɪ ɫ ɬ ɭ ɮ ɯ ɰ ɱ ɲ ɳ ɴ ɵ ɶ ɷ ɸ ɹ ɺ ɻ ɼ ɽ ɾ ɿ ʀ ʁ ʂ ʃ ʄ ʅ ʆ ʇ ʈ ʉ ʊ ʋ ʌ ʍ ʎ ʏ ʐ ʑ ʒ ʓ ʔ ʕ ʖ ʗ ʘ ʙ ʚ ʛ ʜ ʝ ʞ ʟ ʠ ʡ ʢ ʣ ʤ ʥ ʦ ʧ ʨ ʩ ʪ ʫ ʬ ʭ ʮ
罗马数字	罗马数字 ⅰ ⅱ ⅲ ⅳ ⅴ ⅵ ⅶ ⅷ ⅸ ⅹ ⅺ ⅻ ⅼ ⅽ ⅾ ⅿ Ⅰ Ⅱ Ⅲ Ⅳ Ⅴ Ⅵ Ⅶ Ⅷ Ⅸ Ⅹ Ⅺ Ⅻ Ⅼ Ⅽ Ⅾ Ⅿ
结构	结构 ⿰ ⿱ ⿲ ⿳ ⿴ ⿵ ⿶ ⿷ ⿸ ⿹ ⿺ ⿻ 〾
分数	分数 ½ ⅓ ⅔ ¼ ¾ ⅕ ⅖ ⅗ ⅘ ⅙ ⅚ ⅐ ⅛ ⅜ ⅝ ⅞ ⅑ ⅒ ⅟ ↉ ℀ ℁ ℅ ℆ ⅍
音标	音标 i: ɜ: ɑ: ɔ: u: ɪ e æ ʌ ɒ ʊ ə eɪ aɪ ɔɪ əʊ aʊ ɪə eə ʊə p t k f θ s ʃ h tʃ ts tr b d g v ð z ʒ r dʒ dz dr j w m n ŋ l
注音	注音 ㄅ ㄆ ㄇ ㄈ ㄉ ㄊ ㄋ ㄌ ㄍ ㄎ ㄏ ㄐ ㄑ ㄒ ㄓ ㄔ ㄕ ㄖ ㄗ ㄘ ㄙ ㄚ ㄛ ㄜ ㄝ ㄞ ㄟ ㄠ ㄡ ㄢ ㄣ ㄤ ㄥ ㄦ ㄧ 丨 ㄨ ㄩ
部首	部首 一 丨 丿 丶 乛 乚 匚 刂 冂 亻 丷 勹 亠 冫 冖 讠 卩 阝 凵 厶 廴 扌 艹 廾 尢 囗 彳 彡 犭 夂 饣 忄 氵 宀 辶 彐 彑 巳 孑 屮 纟 幺 巛 攴 牜 攵 爫 殳 灬 礻 肀 爿 氺 罒 钅 疒 衤 疋 癶 耒 虍 糸 豸 隹
横	横 一
竖	竖 丨
撇	撇 丿
捺	捺 丶
折	折 乛 乚
笔划	笔划 ㇀ ㇁ ㇂ ㇃ ㇄ ㇅ ㇆ ㇇ ㇈ ㇉ ㇊ ㇋ ㇌ ㇍ ㇎ ㇏ ㇐ ㇑ ㇒ ㇓ ㇔ ㇕ ㇖ ㇗ ㇘ ㇙ ㇚ ㇛ ㇜ ㇝ ㇞ ㇟ ㇠ ㇡ ㇢ ㇣
平假名	平假名 あ い う え お ぁ ぃ ぅ ぇ ぉ か き く け こ が ぎ ぐ げ ご さ し す せ そ ざ じ ず ぜ ぞ た ち つ て と だ ぢ づ で ど っ な に ぬ ね の は ひ ふ へ ほ ば び ぶ べ ぼ ぱ ぴ ぷ ぺ ぽ ま み む め も や ゆ よ ゃ ゅ ょ ら り る れ ろ わ を ん ゎ
片假名	片假名 ア イ ウ エ オ ァ ィ ゥ ェ ォ カ キ ク ケ コ ガ ギ グ ゲ ゴ サ シ ス セ ソ ザ ジ ズ ゼ ゾ タ チ ツ テ ト ダ ヂ ヅ デ ド ッ ナ ニ ヌ ネ ノ ハ ヒ フ ヘ ホ バ ビ ブ ベ ボ パ ピ プ ペ ポ マ ミ ム メ モ ャ ヤ ュ ユ ョ ヨ ラ リ ル レ ロ ワ ヰ ヱ ヲ ン ヴ ヵ ヶ ー
韩语	韩语 ㄱ ㄲ ㄳ ㄴ ㄵ ㄶ ㄷ ㄸ ㄹ ㄺ ㄻ ㄼ ㄽ ㄾ ㄿ ㅀ ㅁ ㅂ ㅃ ㅄ ㅅ ㅆ ㅇ ㅈ ㅉ ㅊ ㅋ ㅌ ㅍ ㅎ ㅏ ㅐ ㅑ ㅒ ㅓ ㅔ ㅕ ㅖ ㅗ ㅘ ㅙ ㅚ ㅛ ㅜ ㅝ ㅞ ㅟ ㅠ ㅡ ㅢ ㅥ ㅦ ㅧ ㅨ ㅩ ㅪ ㅫ ㅬ ㅭ ㅮ ㅯ ㅰ ㅱ ㅲ ㅳ ㅴ ㅵ ㅶ ㅷ ㅸ ㅹ ㅺ ㅻ ㅼ ㅽ ㅾ ㅿ ㆀ ㆁ ㆂ ㆃ ㆄ ㆅ ㆆ ㆇ ㆈ ㆉ ㆊ
俄语	俄语 а б в г д е ё ж з и й к л м н о п р с т у ф х ц ч ш щ ъ ы ь э ю я А Б В Г Д Е Ё Ж З И Й К Л М Н О П Р С Т У Ф Х Ц Ч Ш Щ Ъ Ы Ь Э Ю Я
元素	元素 氢H 氦He 锂Li 铍Be 硼B 碳C 氮N 氧O 氟F 氖Ne 钠Na 镁Mg 铝Al 硅Si 磷P 硫S 氯Cl 氩Ar 钾K 钙Ca 钪Sc 钛Ti 钒V 铬Cr 锰Mn 铁Fe 钴Co 镍Ni 铜Cu 锌Zn 镓Ga 锗Ge 砷As 硒Se 溴Br 氪Kr 铷Rb 锶Sr 钇Y 锆Zr 铌Nb 钼Mo 锝Tc 钌Ru 铑Rh 钯Pd 银Ag 镉Cd 铟In 锡Sn 锑Sb 碲Te 碘I 氙Xe 铯Cs 钡Ba 镧La 铈Ce 镨Pr 钕Nd 钷Pm 钐Sm 铕Eu 钆Gd 铽Tb 镝Dy 钬Ho 铒Er 铥Tm 镱Yb 镥Lu 铪Hf 钽Ta 钨W 铼Re 锇Os 铱Ir 铂Pt 金Au 汞Hg 铊Tl 铅Pb 铋Bi 钋Po 砹At 氡Rn 钫Fr 镭Ra 锕Ac 钍Th 镤Pa 铀U 镎Np 钚Pu 镅Am 锔Cm 锫Bk 锎Cf 锿Es 镄Fm 钔Md 锘No 铹Lr 𬬻Rf 𬭊Db 𬭳Sg 𬭛Bh 𬭶Hs 鿏Mt 𫟼Ds 𬬭Rg 鿔Cn 鿭Nh 𫓧Fl 镆Mc 𫟷Lv 鿬Ts 鿫Og
